01-AC-000069/01-AC-000070,UNIV. OF NORTHERN PHIL. (PE/E/HS),AGC,"Laboratory Grade School,Quirino Boulevard","Tamag, Vigan City Ilocos Sur",0,0,0
01-AD-000014/01-AD-000089/01-AD-000065,DON MARIANO MARCOS STATE (E/HS)-SN.FD,AGC,"Catbangen,","San Fernando City, La Union",0,0,0
01-OC-000047,SPECIAL EDUCATION CENTER-BAGUIO,AGC,"Military Cut-Off Road.,",Baguio City,0,0,0
01-AC-000058,STA. CRUZ INSTITUTE,AGC,"Poblacion Sur,","Sta. Cruz, Ilocos Sur",OSS,NUEVA SEGOVIA,0
01-AC-000002,BENITO SOLIVEN ACADEMY (HS),AGC,Brgy Nalasin,"Sto. Domingo, Ilocos Sur",0,NUEVA SEGOVIA,0
01-AD-000083,POLYTECHNIC COLLEGE OF LA UNION,AGC,0,"Agoo, La Union",0,0,0
01-OD-000020,ST. LOUIS HIGH SCH. OF ANTAMOK,AGC,Poblacion,"Antamok, Itogon, Benguet",0,BAGUIO,0
01-AD-000027/01-AD-000028,PUGO CATHOLIC SCHOOL (E/HS),AGC,"Pugo Road, Tavora East,","Pugo, La Union",TDM,LA UNION,0
01-AD-000056,UNION INSTITUTE OF ROSARIO,AGC,"Subusud,","Rosario, La Union",0,0,0
01-OC-000067,BAGUIO CENTRAL UNIVERSITY (E/H),AGC,"#18 Bonifacio St.,",Baguio City,0,0,0
01-OD-000022,ST. LOUIS HIGH SCH. OF PHILEX,AGC,"Philex Mines, Pacdal Tuba,",Benguet,0,BAGUIO,0
01-OC-000021,EDUCARE LEARNING CENTER,AGC,Km 6,"Irisan, Baguio City",0,0,0
01-OC-000040,PINES CITY COLLEGES (E/HS),AGC,"Magsaysay Ave.,",Baguio City,0,0,0
01-AE-000011,KIDS KOLLEGE,AGC,"2-B Castro Ave.,",Laoag City,0,0,0
01-OD-000027,ST. THERESE TOMAY (THERESIANS SCHOOL),AGC,(Frmly: Tacdian Catholic School),"Tomay, La Trinidad, Benguet",0,BAGUIO,0
01-AD-000078/01-AD-000094,DON MARIANO MARCOS STATE-AGOO,AGC,"Dona Toribia Aspiras Road,","Agoo, La Union",0,0,0
01-AD-000036,ST. AUGUSTINE LEARNING SCHOOL,AGC,E Rimanto St. Brgy Natividad,"Naguilian, La Union",0,LA UNION,0
01-OC-000061,STEP LEARNING ACADEMY,AGC,109 Brgy. Ferdinand,"Campo Sioco, Baguio City",0,0,0
01-AD-000039,ST. JOHN THE BAPTIST SCHOOL,AGC,Macarthur Highway,"Caba, La Union",0,LA UNION,0
01-OE-000006,IMM. CONCEPCION SCHOOL,AGC,0,"Banaue, Ifugao",0,0,0
01-AC-000034,SAN JOSE HIGH SCHOOL (HS),AGC,0,0,0,NUEVA SEGOVIA,0
01-AE-000019,NORTHWESTERN UNIV.-LAB. ELEM. SCH.,AGC,"Airport Ave.,",Laoag City,0,0,0
01-AE-000003/01-AE-000004,DIVINE WORD COLL. OF LAOAG-E/H,AGC,"Gen. Segundo Ave.,",Laoag City,SVD,0,0
01-AB-000005,BATAC JUNIOR COLLEGE,AGC,"San Marcelino St. Brgy Valdez,","Batac City, Ilocos Norte",0,0,0
01-OD-000036,LA TRINIDAD NAZARENE LEARNERS CENTER,AGC,"Pico,","La Trinidad, Benguet",0,0,0
01-AE-000009,ILOCOS NORTE ADVENTIST SCHOOL,AGC,Brgy. 19,"F. Guerrero St., Laoag City",SDA NL,0,0
01-AB-000006,"DINGRAS FAITH ACADEMY, INC.",AGC,"Root St. Madamba,","Dingras, Ilocos Norte",0,0,0
01-OA-000031/01-OA-000045,OUR LADY OF LOURDES HIGH SCHOOL (PE/HS),AGC,0,"Manabu, Abra",0,BANGUED,0
01-OD-000013,LITTLE FLOWER CHILDREN'S HOME,AGC,"Km 4,","La Trinidad, Benguet",0,BANGUED,0
01-OC-000002,BAGUIO ACHIEVERS' ACADEMY,AGC,"#15 S. Laurel St.,",Baguio City,0,0,0
01-OC-000009,"BAGUIO HIGHER GROUND PRE-SCHOOL, INC.",AGC,Pidawan (Epza),"Loakan Proper, Baguio City",0,0,0
01-OD-000026,ST. THERESITA'S HIGH SCHOOL,AGC,Poblacion,"Labueg, Kapangan, Benguet",0,BAGUIO,0
01-AB-000034,GRACELAND SAVIOUR'S INSTITUTION,AGC,(Frmly Our Savior Kindergaten Of Batac ),"#35 Bil-Loca, Batac City, Ilocos Norte",0,0,0
01-OC-000055,LOAKAN BAPTIST CHURCH SCHOOL,AGC,"#01 Cudirao,","Loakan Proper, Baguio City",0,0,0
01-AB-000036,ST. NICOLAS ACADEMY-ILOCOS NORTE,AGC,0,"Vintar, Ilocos Norte",0,0,0
01-AD-000093,SAN ALBERTO MAGNO ACADEMY (E),AGC,Poblacion,"Tubao, La Union",0,LA UNION,0
01-AD-000030,SACRED HEART SCHOOL,AGC,"Nera St., Brgy. Central East","Bauang, La Union",FMA - ASSUMPTION,LA UNION,0
01-OA-000034,SACRED HEART SCHOOL-BANGUED,AGC,Zone 6,"Bangued, Abra",0,0,0
01-AC-000055,ST. THOMAS AQUINAS LEARNING CENTER,AGC,"21 Libertad Street, Poblacion,","Vigan City, Ilocos Sur",0,0,0
01-AC-000059,STA. LUCIA CATHOLIC SCHOOL,AGC,"Burgos,","Sta. Lucia, Ilocos Sur 2712",OSS,NUEVA SEGOVIA,0
01-AE-000024,ST. JOSEPH HIGH SCHOOL (E/HS),AGC,"Brgy. 28, Diego Silang St.,",Laoag City,0,LAOAG,0
01-OD-000023,ST. LOUIS HIGH SCH. OF SABLAN,AGC,0,"Poblacion, Sablan, Benguet",0,BAGUIO,0
01-AB-000018,ST. ELIZABETH ELEM. SCHOOL,AGC,0,"Badoc, Ilocos Norte",0,LAOAG,0
01-AD-000077,UNION SCHOOL OF NAGUILIAN (E/HS),AGC,0,"Naguilian, La Union",0,0,0
01-OD-000016,SACRED HEART HIGH SCHOOL,AGC,Poblacion,"Itogon, Benguet",0,BAGUIO,0
01-AC-000010,GREAT HEIGHTS LEARNING CENTER,AGC,"Ground Flr. Marinella Comm'L Complex,","Govantes Dike, Zone V,Bantay, Ilocos Sur",0,0,0
01-AC-000038,SANTIAGO CATHOLIC SCHOOL (HS),AGC,0,"Santiago, Ilocos Sur",0,NUEVA SEGOVIA,0
01-AB-000032,OUR SAVIOR'S KINDERGARTEN-PASUQUIN,AGC,0,"Brgy. 4, Pasuquin, Ilocos Norte",0,0,0
01-OD-000012,IMM. CONCEPCION SCHOOL OF BENGUET,AGC,Poblacion,"Bokod, Benguet",0,BAGUIO,0
01-OA-000006,AVE MARIA SCHOOL,AGC,"Partelo St.,","Bangued, Abra",0,0,0
01-AD-000002,AGOO CHRISTIAN LEARNING CENTER,AGC,"#29 San Antonio,","Agoo, La Union",0,0,0
01-OA-000046,BASIC CLUES CREATIVE LEARNING CENTER,AGC,"2Nd Flr Vp Skyview Bldg.,","Magallanes St., Zone 5, Bangued, Abra",0,0,0
01-AB-000023/01-AB-000024,STA. ROSA ACADEMY (E/HS),AGC,"Brgy 3, San Ildefonso","San Nicolas, Ilocos Norte",0,LAOAG,0
01-AC-000048,ST. CECILIA LEARNING CENTER,AGC,"Brgy. San Nicolas,","Candon City, Ilocos Sur",0,0,0
01-AE-000020,PADRE ANNIBALE SCHOOL,AGC,"Madre Nazarena Domus,","Along Vintar Rd., Laoag City",FDZ,0,0
01-AD-000052,STA. CATALINA ACADEMY,AGC,Valdez St.,"Victoria, Luna, La Union",0,LA UNION,0
01-AC-000043,SHEPHERD KIDDIE SCHOOL,AGC,"Brgy. San Jose,","Candon City, Ilocos Sur",0,0,0
01-AD-000046,ST. MARY'S ACAD.-ROSARIO(HS),AGC,Bernal St.,"Rosario, La Union",0,LA UNION,0
01-AC-000061,THE NEW MAKIL TECHNICAL SCHOOL,AGC,"Poblacion,","Galimuyod, Ilocos Sur",0,0,0
01-OD-000019,SHEKINAH EDUCATIONAL CENTER,AGC,"Jb 132 Km. 4 Central Pico,","La Trinidad, Benguet",0,0,0
01-AB-000035,THE RIVERDEEP ACADEMY,AGC,"Brgy. 28 Cabusligan,","Bacarra, Ilocos Norte",0,0,0
01-AC-000018,IMM. CONCEPCION MINOR SEM. HS,AGC,"Ayusan Sur,","Vigan City, Ilocos Sur",0,NUEVA SEGOVIA,0
01-OC-000077,PHILIPPINE BELL INTERNATIONAL SCHOOL,AGC,Near Pink Sister Convent,Baguio City,0,0,0
01-OA-000021,HOLY GHOST SCHOOL,AGC,0,"Poblacion, Tayum, Abra",0,BANGUED,0
01-AD-000024,NOTRE DAME INSTITUTE (HS),AGC,"Poblacion,","Aringay, La Union",0,LA UNION,0
01-OD-000015,"RAINBOW MISSION INTERNATIONAL ACAD., INC.",AGC,"Ae-13-2 Western Buyagan,","La Trinidad, Benguet",0,0,0
