01-DN-000376,STA. CLARA DE ANTIPOLO,CAJ,"Rd. I Lot 2, cor Rd. 7, Ph-IV","Cogeo Village(Loob), Antipolo City",,,
01-DN-000068,COL. DE SAN CLEMENTE,CAJ,,"Angono, Rizal", ,ANTIPOLO,MAPSA
01-DN-000443,JUSTO LEARNING ACADEMY,CAJ,,,,,
01-DN-000308/01-DN-000309,SAN FRANCISCO PARISH SCHOOL-E/HS,CAJ,"Pauna St.,","Cardona, RizaL", ,ANTIPOLO,MAPSA
01-DN-000349,ST. JEROME'S ACADEMY (E/HS),CAJ,"Turenticile St., San Jose,","Morong, Rizal",,,
01-DN-000080,DIVINE MERCY LEARNING CENTER,CAJ,"Sietemedia St., Circumferencial Rd.,",Antipolo City,,,
01-DN-000223/01-DN-000224,MOTHER GOOSE MONT. SCH. (E/PE) ,CAJ,# 24 M. Santos St, Antipolo City, , ,RIPRISA
01-DN-000318,SENORA DELA PAZ ACADEMY,CAJ,"C. Lawis Ext. Purok Dalisay,","Bo. San Isidro, Antipolo City",,,
01-DN-000350,ST. JOHN HILL ACADEMY,CAJ,"#011 Calero,","Morong, Rizal",,,
01-DN-000258,PAREF ROSEHILL SCHOOL,CAJ,"Sta. Monica Estate,","Mission Hills, Antipolo City", , ,
01-DN-000403,THE LITTLE FARM HOUSE DEV'TCTR,CAJ,"#95 Beverly Hills Ave.,","Beverly Hillls Subd., Taytay, Rizal", , ,Family Business
01-DN-000373,ST. THERESE OF LISIEUX SCHOOL,CAJ,"888 Sampaguita St., Midtown Village,","Brgy. San Andres, Cainta, Rizal",,,
01-DN-000422,VISTA VERDE LEARNING CENTER,CAJ,"Moncada St., Vista Verde Exec. Village,","Cainta, Rizal",,,
01-DN-000107,GINGERGRACE ACADEME,CAJ,"Orca St., Carebi Subd.,","Angono, Rizal", ,,RIPRISA
01-DN-000038,BBSI CHRISTIAN ACADEMY,CAJ,"Ortigas Ext., Ave.,Tikling,","Taytay, Rizal", , ,RIPRISA
01-DN-000069,COL. DE ST. MONIQUE,CAJ,"(L'ECOLE DU St. Monique) Valais,","Brgy. Paltok, Binangonan, Rizal",,,
01-DN-000367,ST. MICHAEL PAROCHIAL SCHOOL,CAJ,"C. Villaran St.,","Jala-Jala, Rizal",,,
01-DN-000358/01-DN-000359,ST. JOSEPH PARISH SCHOOL (E/HS),CAJ,"San Jose St.,","Baras, Rizal", ,ANTIPOLO,MAPSA
01-DN-000426,WILL SCHOOL OF ANTIPOLO,CAJ,"519 Jane Land,","Christinas Village, Antipolo City",,,
01-DN-000133,HOLY CHILD SCHOOL OF ANTIPOLO,CAJ,"104 St. Anthony,","Brgy. Inarawan, Antipolo City",,,
01-DN-000114/01-DN-000115,GRACE CHRISTIAN MISSION (E/HS)-ANTIPOLO,CAJ,"Boso-Boso,",Antipolo City, ,,
01-DN-000490,OUR LADY OF DELIVERANCE SCHOOL,CAJ,#23 2/F HILLSIDE PLAZA BLDG.,ANTIPOLO CITY,,,
01-DN-000020,ANGEL SPIRIT LEARNING CENTER,CAJ,"B-23 L-6 San Lorenzo Ruiz,","Taytay, Rizal",,,
01-DN-000058,CHILDREN'S LRNG.CTR. OF ANTIPOLO,CAJ,Sto. Nino St. cor,"Sumulong Ext.,Antipolo City",,,
01-DN-000279,QUEEN MARY LEARNING CENTER-CAINTA,CAJ,"1566 Birmingham St.,","Brookside Hills, Cainta, Rizal", , ,
01-DN-000196,MAGIS YOUNG ACHIEVERS LEARNING CENTER,CAJ,"Tindalo St., Town & Country Exec. Vill.,","Marcos H-way, Antipolo City", , ,RIPRISA
01-DN-000431,ZION CENTER OF KNOWLEDGE SCH.,CAJ,"#14 Norris Town St., Vista Verde","Country Homes, Cainta, Rizal",,,
01-DN-000182,SUNNYVALE CHRISTIAN SCHOOL-BINANGONAN,CAJ,,,,,
01-NG-000039,LITTLE BUILDERS CHILDRENS CENTER,CAJ,"#6 P. Antonio St.,","Sto. Nino, Marikina City",,,
01-DN-000161,JUPITER SCHOOL OF ANTIPOLO,CAJ,"#114 cor Petracio , Tubigan,","Dalig, Antipolo City",,,
01-DN-000096,FIRST CRAYON LRNG. CTR.-ANTIPOLO,CAJ,"B-2 L-C, Bayugo Buliran Rd.,","Premavera Homes, Antipolo City",,,
01-DN-000354,ST. JOHN'S WORT MONTESSORI,CAJ,"#30 M.L. Quezon Ave., Ext.,","Nayong Silangan, Antipolo City",,,
01-DN-000176,LADY CHARITY SCHOOL OF ANTIPOLO,CAJ,"C. Lawis Ext.,","Brgy. San Isidro,Antipolo City",,,
01-DN-000077,DAUGHTERS OF ST. DOMINIC SCH.-ANTIPOLO,CAJ,"#5 Atis Rd.,","Nayong Silangan Subd.,Antipolo City", , ,
01-DN-000441,BEREA ARTS AND SCIENCE HIGH SCHOOL,CAJ,,,,,
01-DN-000335,SOUTHRIDGE PRIVATE H.S.,CAJ,"Circumferential RD.,",Antipolo City, , ,RIPRISA
01-DN-000313,SANLEX DIVINE GRACE ACADEMY,CAJ,"Ynares cor Carmen St., San Carlos Hgts.","Subd., Tayuman, Binangonan, Rizal",,,
01-DN-000392,SWEET VALLEY SCHOOL,CAJ,"Rita St., San Carlos Heights","Tayuman, Binangonan, Rizal",,,
01-DN-000479,VIRTUDES DE LA ACADEMIA INC.,CAJ,"M.L. Quezon St.,","Brgy. dela Paz, Antipolo City", , ,
01-DN-000024,ANGONO CHRISTIAN SCHOOL,CAJ,(formerly Angel of Wisdom L.C.),"Quezon Ave., Angono, Rizal",,,
01-NG-000098,STA. CLARA LEARNING CENTER,CAJ,"M.H. del Pilar St.,","Calumpang, Marikina City", , ,
01-DN-000079,DIVINE CHILD JESUS SCHOOL,CAJ,"Golden City Subd.,","Dolores, Taytay, Rizal", , ,
01-DN-000101,FUNLAND LEARNING CENTER,CAJ,"Ph-1 L-25 B-29,","San Lorenzo Ruiz, Taytay, Rizal",,,
01-DN-000436,GEORGIA INTERNATIONAL ACADEMY,CAJ,,,,,
01-DN-000278,QUEEN MARY HELP OF CHRISTIAN EDUC. CTR.,CAJ,"National Rd.,","Brgy. Calahan, Cardona, Rizal",,,
01-DN-000425,WESTERN ANTIPOLO MISSION SCHOOL,CAJ,"#30 Langka St., Elmar's Subd.,","Cupang, Antipolo City",,,
01-DN-000043,BLANCO'S FAMILY ACADEMY,CAJ,,"A. Ibanez St., Angono, Rizal",,,
01-DN-000462,ST. ANNE LEARNING SCHOOL,CAJ,Rd. 2 L013 Lupang Arenda,"Sta. Ana, Taytay, Rizal", , ,RIPRISA
01-DN-000342,ST. ARNOLD JANSSEN KINDER SCHOOL,CAJ,"Janssenville Subd.,","Brgy. San Juan, Cainta, Rizal", , ,RIPRISA
01-DN-000015,ALPHA BETH CHRISTIAN ACADEMY,CAJ,"Fronting Water Dist. Market Site,","Sampaloc, Tanay, Rizal",,,
