01-AD-000027/01-AD-000028,PUGO CATHOLIC SCHOOL (E/HS),,AGC,"Pugo Road, Tavora East,","Pugo, La Union",TDM,LA UNION,
01-AC-000002,BENITO SOLIVEN ACADEMY (HS),,AGC,Brgy Nalasin,"Sto. Domingo, Ilocos Sur", ,Nueva Segovia,
01-AB-000034,GRACELAND SAVIOUR'S INSTITUTION,,AGC,(Frmly Our Savior Kindergaten of Batac ),"#35 Bil-loca, Batac City, Ilocos Norte", , ,
01-AD-000024,NOTRE DAME INSTITUTE (HS),,AGC,"Poblacion,","Aringay, La Union", ,LA UNION,
01-AB-000006,"DINGRAS FAITH ACADEMY, INC.",,AGC,"Root St. Madamba,","Dingras, Ilocos Norte", , ,
01-AD-000036,ST. AUGUSTINE LEARNING SCHOOL,,AGC,E Rimanto St. Brgy Natividad,"Naguilian, La Union", ,LA UNION,
01-OD-000036,LA TRINIDAD NAZARENE LEARNERS CENTER,,AGC,"Pico,","La Trinidad, Benguet",,,
01-AD-000046,ST. MARY'S ACAD.-ROSARIO(HS),,AGC,Bernal St.,"Rosario, La Union", ,LA UNION,
01-AC-000055,ST. THOMAS AQUINAS LEARNING CENTER,,AGC,"21 Libertad Street, Poblacion,","Vigan City, Ilocos Sur", , ,
01-OE-000006,IMM. CONCEPCION SCHOOL,,AGC,,"Banaue, Ifugao", , ,
01-OC-000002,BAGUIO ACHIEVERS' ACADEMY,,AGC,"#15 S. Laurel St.,",Baguio City, , ,
01-AE-000003/01-AE-000004,DIVINE WORD COLL. OF LAOAG-E/H,,AGC,"Gen. Segundo Ave.,",Laoag City,SVD,Laoag,
01-OC-000055,LOAKAN BAPTIST CHURCH SCHOOL,,AGC,"#01 Cudirao,","Loakan Proper, Baguio City", , ,
01-AE-000009,ILOCOS NORTE ADVENTIST SCHOOL,,AGC,Brgy. 19,"F. Guerrero St., Laoag City",SDA NL, ,
01-OA-000031/01-OA-000045,OUR LADY OF LOURDES HIGH SCHOOL (PE/HS),,AGC,,"Manabu, Abra",,Bangued,
01-OC-000009,"BAGUIO HIGHER GROUND PRE-SCHOOL, INC.",,AGC,Pidawan (EPZA),"Loakan Proper, Baguio City", , ,
01-OD-000026,ST. THERESITA'S HIGH SCHOOL,,AGC,Poblacion,"Labueg, Kapangan, Benguet", ,BAGUIO,
01-AD-000039,ST. JOHN THE BAPTIST SCHOOL,,AGC,MacArthur Highway,"Caba, La Union", ,LA UNION,
