01-AD-000027/01-AD-000028,PUGO CATHOLIC SCHOOL (E/HS),NL,AGC,"Pugo Road, Tavora East,","Pugo, La Union",TDM,LA UNION,
01-AD-000078/01-AD-000094,DON MARIANO MARCOS STATE-AGOO,NL,AGC,"Dona Toribia Aspiras Road,","Agoo, La Union", , ,
01-AB-000006,"DINGRAS FAITH ACADEMY, INC.",NL,AGC,"Root St. Madamba,","Dingras, Ilocos Norte", , ,
01-AD-000024,NOTRE DAME INSTITUTE (HS),NL,AGC,"Poblacion,","Aringay, La Union", ,LA UNION,
01-OC-000061,STEP LEARNING ACADEMY,NL,AGC,109 Brgy. Ferdinand,"Campo Sioco, Baguio City", , ,
01-AB-000034,GRACELAND SAVIOUR'S INSTITUTION,NL,AGC,(Frmly Our Savior Kindergaten of Batac ),"#35 Bil-loca, Batac City, Ilocos Norte", , ,
01-AD-000036,ST. AUGUSTINE LEARNING SCHOOL,NL,AGC,E Rimanto St. Brgy Natividad,"Naguilian, La Union", ,LA UNION,
01-OD-000036,LA TRINIDAD NAZARENE LEARNERS CENTER,NL,AGC,"Pico,","La Trinidad, Benguet",,,
01-AD-000046,ST. MARY'S ACAD.-ROSARIO(HS),NL,AGC,Bernal St.,"Rosario, La Union", ,LA UNION,
01-OA-000034,SACRED HEART SCHOOL-BANGUED,NL,AGC,Zone 6,"Bangued, Abra", , ,
01-OE-000006,IMM. CONCEPCION SCHOOL,NL,AGC,,"Banaue, Ifugao", , ,
01-AC-000034,SAN JOSE HIGH SCHOOL (HS),NL,AGC,,, ,Nueva Segovia,
01-AC-000055,ST. THOMAS AQUINAS LEARNING CENTER,NL,AGC,"21 Libertad Street, Poblacion,","Vigan City, Ilocos Sur", , ,
01-AE-000003/01-AE-000004,DIVINE WORD COLL. OF LAOAG-E/H,NL,AGC,"Gen. Segundo Ave.,",Laoag City,SVD,Laoag,
01-AE-000009,ILOCOS NORTE ADVENTIST SCHOOL,NL,AGC,Brgy. 19,"F. Guerrero St., Laoag City",SDA NL, ,
01-OC-000055,LOAKAN BAPTIST CHURCH SCHOOL,NL,AGC,"#01 Cudirao,","Loakan Proper, Baguio City", , ,
01-OA-000031/01-OA-000045,OUR LADY OF LOURDES HIGH SCHOOL (PE/HS),NL,AGC,,"Manabu, Abra",,Bangued,
01-OC-000002,BAGUIO ACHIEVERS' ACADEMY,NL,AGC,"#15 S. Laurel St.,",Baguio City, , ,
01-OC-000009,"BAGUIO HIGHER GROUND PRE-SCHOOL, INC.",NL,AGC,Pidawan (EPZA),"Loakan Proper, Baguio City", , ,
01-OD-000026,ST. THERESITA'S HIGH SCHOOL,NL,AGC,Poblacion,"Labueg, Kapangan, Benguet", ,BAGUIO,
01-AD-000099,ST. MICHAEL ARCHANGEL LEARNING CENTER,NL,AGC,"Poblacion,","Bacnotan, La Union",,LA UNION,
01-AD-000039,ST. JOHN THE BAPTIST SCHOOL,NL,AGC,MacArthur Highway,"Caba, La Union", ,LA UNION,
01-AB-000036,ST. NICOLAS ACADEMY-ILOCOS NORTE,NL,AGC,,"Vintar, Ilocos Norte", , ,
01-AC-000038,SANTIAGO CATHOLIC SCHOOL (HS),NL,AGC,,"Santiago, Ilocos Sur", ,Nueva Segovia,
01-AD-000093,SAN ALBERTO MAGNO ACADEMY (E),NL,AGC,Poblacion,"Tubao, La Union", ,LA UNION,
01-OD-000013,LITTLE FLOWER CHILDREN'S HOME,NL,AGC,"Km 4,","La Trinidad, Benguet", ,Bangued,
01-OA-000046,BASIC CLUES CREATIVE LEARNING CENTER,NL,AGC,"2nd Flr VP Skyview Bldg.,","Magallanes St., Zone 5, Bangued, Abra",,,
01-AC-000010,GREAT HEIGHTS LEARNING CENTER,NL,AGC,"Ground Flr. Marinella Comm'l Complex,","Govantes Dike, Zone V,Bantay, Ilocos Sur", , ,
01-OD-000012,IMM. CONCEPCION SCHOOL OF BENGUET,NL,AGC,Poblacion,"Bokod, Benguet", ,BAGUIO,
01-AD-000047,ST. MARY'S OF THE SEA ACADEMY,NL,AGC,Centro,"Sto. Tomas, La Union", ,LA UNION,
01-AD-000053,STELLA MARIS ACADEMY (HS),NL,AGC,"Quirino,","Bacnotan, La Union", ,LA UNION,
01-AE-000024,ST. JOSEPH HIGH SCHOOL (E/HS),NL,AGC,"Brgy. 28, Diego Silang St.,",Laoag City, ,Laoag,
01-AB-000018,ST. ELIZABETH ELEM. SCHOOL,NL,AGC,,"Badoc, Ilocos Norte", ,Laoag,
01-AD-000077,UNION SCHOOL OF NAGUILIAN (E/HS),NL,AGC,,"Naguilian, La Union", , ,
01-AB-000023/01-AB-000024,STA. ROSA ACADEMY (E/HS),NL,AGC,"Brgy 3, San Ildefonso","San Nicolas, Ilocos Norte", ,Laoag,
01-AC-000048,ST. CECILIA LEARNING CENTER,NL,AGC,"Brgy. San Nicolas,","Candon City, Ilocos Sur", , ,
01-OD-000017/01-OD-000033,SAN ISIDRO HIGH SCHOOL,NL,AGC,,"Abatan, Buguias, Benguet", ,BAGUIO,
01-AC-000044,ST. AGNES SCHOOL (E/HS),NL,AGC,,, ,Nueva Segovia,
01-AD-000002,AGOO CHRISTIAN LEARNING CENTER,NL,AGC,"#29 San Antonio,","Agoo, La Union", , ,
01-OD-000016,SACRED HEART HIGH SCHOOL,NL,AGC,Poblacion,"Itogon, Benguet", ,BAGUIO,
01-AC-000043,SHEPHERD KIDDIE SCHOOL,NL,AGC,"Brgy. San Jose,","Candon City, Ilocos Sur", , ,
01-AB-000032,OUR SAVIOR'S KINDERGARTEN-PASUQUIN,NL,AGC,,"Brgy. 4, Pasuquin, Ilocos Norte", , ,
01-AE-000025,ST. MARY'S SEMINARY (HS),NL,AGC,"38-A Mangato St.,",Laoag City, , ,
01-OA-000006,AVE MARIA SCHOOL,NL,AGC,"Partelo St.,","Bangued, Abra", , ,
01-OD-000021,ST. LOUIS HIGH SCH. OF BALATOC,NL,AGC,"Virac,","Itogon, Benguet", ,BAGUIO,
01-AE-000020,PADRE ANNIBALE SCHOOL,NL,AGC,"Madre Nazarena Domus,","Along Vintar Rd., Laoag City",FDZ,Laoag,
01-AB-000016,ST. ANDREW ACADEMY (HS),NL,AGC,"Brgy. I,","Bacarra, Ilocos Norte", , ,
01-AB-000033,ST. JOSEPH EDUCATIONAL CTR. OF DINGRAS,NL,AGC,,"Dingras, Ilocos Norte", , ,
01-AC-000061,THE NEW MAKIL TECHNICAL SCHOOL,NL,AGC,"Poblacion,","Galimuyod, Ilocos Sur", , ,
01-AD-000052,STA. CATALINA ACADEMY,NL,AGC,Valdez St.,"Victoria, Luna, La Union", ,LA UNION,
01-OA-000047,ANARAAR KEN NAMNAMA LEARNING ANGELS CTR.,NL,AGC,"Alzate Cmpd., Zone 1,","Linasin, Bangued, Abra",,,
01-AB-000035,THE RIVERDEEP ACADEMY,NL,AGC,"Brgy. 28 Cabusligan,","Bacarra, Ilocos Norte", , ,
01-OD-000015,"RAINBOW MISSION INTERNATIONAL ACAD., INC.",NL,AGC,"AE-13-2 Western Buyagan,","La Trinidad, Benguet", , ,
01-AC-000018,IMM. CONCEPCION MINOR SEM. HS,NL,AGC,"Ayusan Sur,","Vigan City, Ilocos Sur", , ,
01-OD-000032,PHILIPPINES ASIA BIBLE COLLEGE FDT. INC.,NL,AGC,"JD-087-1 Bayabas Pico,","La Trinidad, Benguet", , ,
01-AC-000071,VIGAN ADVENTIST MULTIGRADE SCHOOL,NL,AGC,Capangpangan,"Vigan, Ilocos Sur",SDA NL, ,
01-OD-000019,SHEKINAH EDUCATIONAL CENTER,NL,AGC,"JB 132 Km. 4 Central Pico,","La Trinidad, Benguet", , ,
01-AD-000050,ARINGAY SCHOOL OF SCI. ARTS TECH.&TRADE,NL,AGC,"Raisaville Subd., San Eugenio,","Aringay, La Union", , ,
01-AB-000030,ST. GABRIEL CATHOLIC SCHOOL,NL,AGC,"Poblacion,","Nueva Era, Ilocos Norte", ,Laoag,
01-AB-000037,DONA FRANCISCA SMART KIDS MONT. SCH.,NL,AGC,"#13 San Gabriel Nat'l Rd.,","Bacarra, Ilocos Norte", , ,
01-OA-000013,DIOCESAN SCHOOL OFFICE (A),NL,AGC,Parish House,"Bangued, Abra", , ,
01-AD-000012,DIOCESAN SEMINARY OF HEART OF JESUS,NL,AGC,"San Vicente Road,","San Fernando City, La Union", ,LA UNION,
01-OD-000011,HOLY CROSS LEARNING CENTER - BENGUET,NL,AGC,Lepanto,"Mankayan, Benguet", , ,
01-AC-000073,ANASTROPHE CHRISTIAN SCHOOL,NL,AGC,,, , ,
01-OC-000077,PHILIPPINE BELL INTERNATIONAL SCHOOL,NL,AGC,Near Pink Sister Convent,Baguio City, , ,
01-AC-000072,VIGAN NAN CHONG SCHOOL,NL,AGC,"16 A. Bonifacio St.,","Vigan, Ilocos Sur", , ,
01-OC-000028,JESUS MIRACLE CRUSADE CHRISTIAN ACAD.,NL,AGC,"448 Naguillan Rd., Purok 18,","Irisan, Baguio City", , ,
01-AC-000005,CALVARY BAPTIST ACADEMY OF VIGAN,NL,AGC,"#66 Bonifacio St.,","Vigan City, Ilocos Sur", , ,
01-OC-000072,YALE IL INTERNATIONAL SCHOOL,NL,AGC,"ISG Poliwes,","Kennon Rd., Baguio City", , ,
01-OA-000024,UCCP CHILD CARE CENTER-PTR. HECTOR REYES,NL,AGC,"cor. Santiago & Bowen Sts.,","Bangued, Abra", , ,
01-AD-000033,ST. NICHOLAS ACADEMY (K) -BALAOAN,NL,AGC,"Manila North Road, Brgy Dr Camilo Osias","Balaoan, La Union", ,,
01-OA-000044,ST. IGNATIUS DE LOYOLA SCHOOL,NL,AGC,"13 Mc-Kinley St.,","Zone II, Bangued, Abra", , ,
01-OG-000006,BONTOC FUNDAMENTAL BAPTIST ACADEMY,NL,AGC,,, ,,
01-AD-000031,ST. ISIDORE ELEMENTARY SCHOOL,NL,AGC,Frmly: SAN ALBERTO MAGNO ACADEMY,"Poblacion, Tubao, La Union", ,,
01-AD-000092,ESCUELA DE SAN JUAN,NL,AGC,Centro,"San Juan, La Union", ,LA UNION,
01-AD-000043,ST. MARTIN DE PORRES ACADEMY,NL,AGC,Centro,"Damortis, Rosario, La Union", ,LA UNION,
01-AC-000030,PATER NOSTER LEARNING CENTER (VEC),NL,AGC,(Vigan-Edu-Cultural LRNG. CTR.),"Crisologo St.,Vigan, Ilocos Sur", , ,
01-AE-000028,LAOAG FOURSQUARE KINDERGARTEN SCHOOL,NL,AGC,,, , ,
01-AC-000075,ILOCOS SUR NATIONAL HIGH SCHOOL,NL,AGC,,, , ,
01-OA-000029,OUR LADY OF FATIMA SCHOOL,NL,AGC,St. Narciso Parish,"Bucay, Abra 2805", ,Bangued,
01-AE-000027,UCCP LEARNING CENTER-LAOAG,NL,AGC,"18 Rizal St.,",Laoag City, , ,
01-OD-000023,ST. LOUIS HIGH SCH. OF SABLAN,NL,AGC,,"Poblacion, Sablan, Benguet", ,BAGUIO,
01-OD-000008,CORDILLERA-CARABALLO BIBLE INST.(CCBI),NL,AGC,(CCBI Kiddy Adventure Center),"Brgy. Virac, Itogon, Benguet", , ,
01-AC-000013,ILOCOS BIBLICAL BAPTIST ACADEMY,NL,AGC,,"Taleb Bantay, Ilocos Sur", , ,
01-OA-000023,DIFFERENT STROKES PREPARATORY SCH. INC.,NL,AGC,"668 Lazala St.,","Bangued, Abra", , ,
01-AB-000038,ST. JAMES ACADEMY,NL,AGC,"Manila North Road, Centro","Pasuquin, Ilocos Norte",,,
01-OC-000027,HOLY ANGEL NURSERY SCHOOL,NL,AGC,"#149 Bonifacio St.,","Cuesta Bldg., Baguio City", , ,
01-AB-000031,FLORENTINO CAMAQUIN ELEM. SCHOOL,NL,AGC,"#4 St. Mary,","Vintar, Ilocos Norte", , ,
01-AC-000022,KIDDIE CHRISTIAN LEARNING CENTER,NL,AGC,"#79 Bonifacio St.,","Vigan, Ilocos Sur", , ,
01-AC-000009,DUDLEY S. LARA EDUCATIONAL CENTER,NL,AGC,"#91 Bonifacion St.,","Vigan, Ilocos Sur", , ,
01-AE-000002,CATERPILLAR CENTRE FOR EARLY,NL,AGC,"23 P. Gomez St.,",Laoag City, , ,
01-AD-000070,SAN LORENZO SCIENCE SCHOOL,NL,AGC,"27 Ilang-Ilang St., Capitol View","Poro, San Fernando, La Union", , ,
01-AC-000003,BIDBIDAY ADV. MULTIGRADE SCHOOL,NL,AGC,"Brgy. Bidbiday,","Galimuyod, Ilocos sur", , ,
01-OC-000063,UCCP KINDERGARTEN SCHOOL,NL,AGC,Burnham Park,Baguio City, , ,
01-OD-000004,BRILLIANT CHRISTIAN ACADEMY,NL,AGC,"Km-6 Valley Bread,","La Trinidad, Benguet", , ,
01-AC-000024,LITTLE ANGEL LEARNING CENTER,NL,AGC,"Poblacion,","Narvacan, Ilocos Sur", , ,
01-OE-000008,ST. JOSEPH SCHOOL,NL,AGC,"Poblacion,","Kaingan, Ifugao", , ,
01-AC-000062,THE UNITED METHODIST CHURCH KID,NL,AGC,"San Antonio,","Candon, Ilocos Sur", , ,
01-AC-000066,UCCP N & K SCHOOL-CANDON,NL,AGC,"San Jose,","Candon, Ilocos Sur", , ,
